Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
0,2,male,28.0,0,0,C,10.5,N,S,Mr.
0,2,male,25.0,0,0,2,13.0,N,S,Mr.
0,2,male,54.0,0,0,2,14.0,N,S,Dr.
1,1,male,60.0,1,1,1,79.2,B,C,Mr.
0,3,male,25.0,0,0,2,7.225,N,C,Mr.
0,3,male,,0,0,3,14.5,N,S,Mr.
0,3,male,14.0,4,1,3,39.6875,N,S,Mr.
1,1,female,35.0,1,0,3,83.475,C,S,Mrs.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
1,1,female,18.0,2,2,P,262.375,B,C,Miss.
0,2,male,39.0,0,0,2,13.0,N,S,Mr.
0,1,male,52.0,1,1,1,79.65,E,S,Mr.
1,1,male,,0,0,1,30.0,D,S,Mr.
1,1,male,23.0,0,1,P,63.3583,D,C,Mr.
1,2,female,4.0,1,1,2,23.0,N,S,Miss.
0,3,male,19.0,0,0,3,7.8958,N,S,Mr.
1,1,male,,0,0,1,29.7,C,C,Mr.
0,2,male,24.0,2,0,S,73.5,N,S,Mr.
0,1,male,62.0,0,0,1,26.55,C,S,Mr.
0,3,female,11.0,4,2,3,31.275,N,S,Miss.
0,3,male,10.0,3,2,3,27.9,N,S,Master.
1,3,male,,2,0,3,23.25,N,Q,Mr.
0,3,male,22.0,0,0,2,7.2292,N,C,Mr.
0,3,female,29.0,0,4,3,21.075,N,S,Mrs.
1,1,female,54.0,1,0,3,78.2667,D,C,Miss.
0,1,male,,0,0,1,39.6,N,C,Dr.
1,3,female,27.0,0,2,3,11.1333,N,S,Mrs.
0,3,male,32.0,0,0,3,7.75,N,Q,Mr.
1,1,female,49.0,0,0,1,25.9292,D,S,Dr.
0,2,male,28.0,0,1,2,33.0,N,S,Rev.
1,2,female,2.0,1,1,2,26.0,N,S,Miss.
1,1,female,19.0,0,0,1,30.0,B,S,Miss.
1,2,female,24.0,1,0,2,26.0,N,S,Mrs.
1,1,male,48.0,1,0,1,52.0,C,S,Mr.
0,1,male,28.0,1,0,P,82.1708,N,C,Mr.
0,3,male,,0,0,3,8.05,N,S,Mr.
0,3,male,24.5,0,0,3,8.05,N,S,Mr.
1,2,female,30.0,3,0,3,21.0,N,S,Mrs.
0,1,male,19.0,3,2,1,263.0,C,S,Mr.
0,1,male,40.0,0,0,P,27.7208,N,C,Don.
0,3,male,34.0,0,0,3,6.4958,N,S,Mr.
0,2,male,,0,0,S,15.05,N,C,Mr.
0,3,male,,1,0,3,24.15,N,Q,Mr.
1,3,male,9.0,1,1,C,15.9,N,S,Master.
0,2,female,26.0,1,1,2,26.0,N,S,Mrs.
0,3,male,16.0,0,0,3,7.775,N,S,Mr.
0,2,male,46.0,0,0,2,26.0,N,S,Mr.
1,1,female,21.0,0,0,1,77.9583,D,S,Miss.
1,1,female,42.0,0,0,P,227.525,N,C,Miss.
1,3,female,63.0,0,0,4,9.5875,N,S,Mrs.
1,2,female,34.0,0,0,C,10.5,F,S,Mrs.
0,1,male,18.0,1,0,P,108.9,C,C,Mr.
0,1,male,,0,0,1,0.0,B,S,Mr.
0,3,male,19.0,0,0,3,7.8958,N,S,Mr.
1,2,male,3.0,1,1,2,26.0,F,S,Master.
1,1,female,44.0,0,1,1,57.9792,B,C,Mrs.
0,3,female,9.0,3,2,3,27.9,N,S,Miss.
0,3,male,,0,0,2,7.2292,N,C,Mr.
1,2,female,24.0,0,2,2,14.5,N,S,Mrs.
0,3,male,16.0,4,1,3,39.6875,N,S,Mr.
0,1,male,60.0,0,0,1,26.55,N,S,Col.
1,1,male,27.0,0,0,P,76.7292,D,C,Mr.
0,3,male,14.0,5,2,C,46.9,N,S,Mr.
0,2,male,54.0,1,0,2,26.0,N,S,Rev.
0,3,male,19.0,0,0,3,7.65,F,S,Mr.
0,3,male,18.0,1,1,3,7.8542,N,S,Mr.
0,3,female,29.0,1,1,3,10.4625,G,S,Mrs.
1,3,female,35.0,1,1,C,20.25,N,S,Mrs.
1,2,female,28.0,0,0,2,12.65,N,S,Mrs.
0,3,female,41.0,0,5,3,39.6875,N,S,Mrs.
0,2,male,25.0,1,0,2,26.0,N,S,Mr.
1,3,female,,1,0,3,15.5,N,Q,Miss.
0,3,male,48.0,0,0,3,7.8542,N,S,Mr.
1,1,female,22.0,0,1,1,55.0,E,S,Miss.
1,3,male,32.0,0,0,1,56.4958,N,S,Mr.
0,3,female,,0,0,S,8.05,N,S,Miss.
1,1,male,36.0,1,2,1,120.0,B,S,Mr.
1,2,female,28.0,0,0,2,13.0,N,S,Miss.
1,3,female,24.0,1,0,S,15.85,N,S,Mrs.
1,1,female,18.0,1,0,P,227.525,C,C,Mrs.
0,3,male,40.0,0,0,3,7.8958,N,S,Mr.
1,2,female,45.0,1,1,F,26.25,N,S,Mrs.
1,3,male,,0,0,1,56.4958,N,S,Mr.
0,3,male,,0,0,3,8.4583,N,Q,Mr.
0,3,male,20.0,0,0,3,8.6625,N,S,Mr.
0,1,male,38.0,0,0,1,0.0,N,S,Jonkheer.
0,3,male,33.0,0,0,7,8.6542,N,S,Mr.
0,1,male,58.0,0,0,1,29.7,B,C,Mr.
0,3,male,,0,0,2,7.225,N,C,Mr.
1,3,male,25.0,1,0,3,7.775,N,S,Mr.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,2,male,51.0,0,0,S,12.525,N,S,Rev.
0,3,female,21.0,0,0,3,7.75,N,Q,Miss.
0,3,male,21.0,0,0,A,8.05,N,S,Mr.
0,3,male,25.0,0,0,S,7.05,N,S,Mr.
0,3,female,20.0,1,0,4,9.825,N,S,Miss.
0,1,male,64.0,0,0,6,26.0,N,S,Mr.
0,3,male,21.0,0,0,A,8.05,N,S,Mr.
0,3,male,,1,0,3,7.75,N,Q,Mr.
0,3,female,40.0,1,0,7,9.475,N,S,Mrs.
0,2,male,44.0,1,0,2,26.0,N,S,Mr.
0,2,male,23.0,0,0,2,13.0,N,S,Mr.
0,2,male,28.0,0,0,2,13.0,N,S,Mr.
1,1,female,33.0,1,0,1,90.0,C,Q,Miss.
0,3,male,,0,0,S,8.05,N,S,Mr.
0,3,female,18.0,0,0,3,6.75,N,Q,Miss.
1,2,female,,0,0,2,33.0,N,S,Miss.
0,3,female,24.0,0,0,3,8.85,N,S,Miss.
0,2,male,30.0,0,0,2,13.0,N,S,Mr.
1,2,female,42.0,1,0,S,26.0,N,S,Mrs.
1,1,female,50.0,0,1,P,247.5208,B,C,Mrs.
0,3,male,,0,0,3,8.6625,N,S,Mr.
0,1,male,45.0,1,0,3,83.475,C,S,Mr.
1,3,female,30.0,0,0,3,12.475,N,S,Miss.
0,3,female,37.0,0,0,4,9.5875,N,S,Miss.
0,3,male,29.0,0,0,3,7.775,N,S,Mr.
1,2,female,17.0,0,0,S,12.0,N,C,Miss.
0,2,male,26.0,0,0,3,10.5,N,S,Mr.
0,3,female,45.0,0,1,2,14.4542,N,C,Mrs.
1,2,male,62.0,0,0,S,10.5,N,S,Mr.
0,3,female,,0,0,3,7.75,N,Q,Miss.
1,3,female,0.75,2,1,2,19.2583,N,C,Miss.
0,3,male,,0,0,3,7.8958,N,S,Mr.
1,3,male,20.0,0,0,2,7.2292,N,C,Mr.
1,1,female,54.0,1,0,P,59.4,N,C,Mrs.
1,3,female,33.0,3,0,3,15.85,N,S,Mrs.
0,3,male,15.0,1,1,2,7.2292,N,C,Mr.
0,3,male,25.0,0,0,3,7.65,F,S,Mr.
0,3,male,51.0,0,0,3,7.0542,N,S,Mr.
0,3,male,22.0,0,0,3,7.7958,N,S,Mr.
0,3,male,24.0,0,0,3,7.8958,N,S,Mr.
0,3,male,17.0,0,0,3,8.6625,N,S,Mr.
0,3,male,51.0,0,0,2,8.05,N,S,Mr.
1,1,female,38.0,1,0,P,71.2833,C,C,Mrs.
0,3,male,,0,0,A,7.25,N,S,Mr.
0,3,male,,0,0,3,14.5,N,S,Mr.
1,3,female,13.0,0,0,2,7.2292,N,C,Miss.
0,3,male,,0,0,3,8.05,N,S,Mr.
1,1,female,31.0,1,0,3,113.275,D,C,Miss.
0,3,male,23.0,0,0,3,7.8542,N,S,Mr.
0,3,male,19.0,0,0,3,8.05,N,S,Mr.
0,3,female,,0,2,2,15.2458,N,C,Mrs.
0,2,male,31.0,0,0,C,10.5,N,S,Mr.
0,2,male,31.0,1,1,S,37.0042,N,C,Mr.
0,3,male,20.0,0,0,2,4.0125,N,C,Mr.
0,3,male,21.0,0,0,S,7.25,N,S,Mr.
0,1,male,45.5,0,0,1,28.5,C,S,Mr.
0,3,male,22.0,0,0,1,8.05,N,S,Mr.
1,3,female,,0,0,3,7.8792,N,Q,Miss.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,3,male,26.0,0,0,3,7.775,N,S,Mr.
1,2,female,25.0,1,1,2,30.0,N,S,Miss.
0,3,female,21.0,1,0,4,9.825,N,S,Miss.
0,1,male,31.0,1,0,F,52.0,B,S,Mr.
1,3,female,15.0,0,0,2,7.225,N,C,Miss.
1,3,female,,0,0,3,7.7375,N,Q,Miss.
0,3,male,,0,0,3,7.75,N,Q,Mr.
0,1,male,65.0,0,1,1,61.9792,B,C,Mr.
0,3,male,,0,0,S,8.05,N,S,Mr.
1,3,female,1.0,1,1,3,11.1333,N,S,Miss.
1,1,male,34.0,0,0,1,26.55,N,S,Mr.
0,3,male,49.0,0,0,L,0.0,N,S,Mr.
1,3,male,18.0,0,0,A,8.05,N,S,Mr.
0,3,female,,1,0,2,14.4542,N,C,Miss.
0,2,male,70.0,0,0,C,10.5,N,S,Mr.
1,3,female,14.0,1,0,2,11.2417,N,C,Miss.
1,3,male,19.0,0,0,A,8.05,N,S,Mr.
0,2,male,30.0,1,0,P,24.0,N,C,Mr.
0,3,female,31.0,1,0,3,18.0,N,S,Mrs.
0,3,male,32.0,0,0,8,8.3625,N,S,Mr.
1,3,female,16.0,0,0,3,7.7333,N,Q,Miss.
0,3,male,50.0,0,0,A,8.05,N,S,Mr.
0,3,male,24.0,0,0,S,7.05,N,S,Mr.
1,1,male,56.0,0,0,1,35.5,A,C,Col.
0,3,male,7.0,4,1,3,39.6875,N,S,Master.
0,3,female,9.0,1,1,2,15.2458,N,C,Miss.
0,2,male,33.0,0,0,S,12.275,N,S,Mr.
0,3,male,19.0,0,0,3,7.8958,N,S,Mr.
0,2,male,32.5,1,0,2,30.0708,N,C,Mr.
1,3,male,1.0,1,2,C,20.575,N,S,Master.
0,3,female,45.0,1,4,3,27.9,N,S,Mrs.
1,1,female,,0,0,1,110.8833,N,C,Miss.
0,3,male,19.0,0,0,3,7.775,N,S,Mr.
1,1,female,21.0,2,2,P,262.375,B,C,Miss.
1,3,female,4.0,1,1,P,16.7,G,S,Miss.
0,3,male,28.0,0,0,3,7.8958,N,S,Mr.
1,3,female,17.0,4,2,3,7.925,N,S,Miss.
0,3,male,30.0,1,0,A,16.1,N,S,Mr.
0,3,male,22.0,0,0,A,7.25,N,S,Mr.
1,2,female,45.0,0,0,2,13.5,N,S,Mrs.
1,3,male,25.0,0,0,L,0.0,N,S,Mr.
0,3,male,18.0,1,1,3,20.2125,N,S,Mr.
0,3,male,33.0,0,0,3,9.5,N,S,Mr.
1,2,female,24.0,1,2,2,65.0,N,S,Miss.
1,3,female,26.0,0,0,S,7.925,N,S,Miss.
0,3,female,22.0,0,0,7,10.5167,N,S,Miss.
0,1,male,56.0,0,0,1,26.55,N,S,Mr.
0,3,male,28.0,1,0,S,15.85,N,S,Mr.
1,1,female,35.0,0,0,P,512.3292,N,C,Miss.
1,2,female,6.0,0,1,2,33.0,N,S,Miss.
1,2,female,41.0,0,1,2,19.5,N,S,Mrs.
0,3,male,,0,0,F,7.3125,N,S,Mr.
0,3,male,,0,0,2,7.2292,N,C,Mr.
1,1,female,52.0,1,1,1,93.5,B,S,Mrs.
0,3,male,32.0,0,0,S,7.925,N,S,Mr.
0,2,male,35.0,0,0,2,26.0,N,S,Mr.
1,1,female,18.0,0,2,1,79.65,E,S,Miss.
1,3,male,,1,1,2,15.2458,N,C,Master.
0,3,female,,0,0,3,8.1375,N,Q,Miss.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,male,,0,0,A,8.05,N,S,Mr.
1,3,female,27.0,0,1,3,12.475,E,S,Mrs.
0,3,male,22.0,0,0,3,7.8958,N,S,Mr.
0,3,male,16.0,2,0,3,18.0,N,S,Mr.
0,1,male,49.0,1,1,1,110.8833,C,C,Mr.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,3,female,16.0,5,2,C,46.9,N,S,Miss.
0,3,female,18.0,1,0,3,17.8,N,S,Mrs.
1,3,female,,0,0,1,7.75,N,Q,Miss.
1,3,male,45.0,0,0,7,8.05,N,S,Mr.
1,3,male,3.0,4,2,3,31.3875,N,S,Master.
0,3,male,70.5,0,0,3,7.75,N,Q,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,male,,2,0,2,21.6792,N,C,Mr.
0,3,male,34.5,0,0,2,6.4375,N,C,Mr.
0,1,male,40.0,0,0,1,0.0,B,S,Mr.
0,3,male,,0,0,3,15.5,N,Q,Mr.
0,3,male,27.0,1,0,2,14.4542,N,C,Mr.
1,3,female,18.0,0,0,3,7.4958,N,S,Miss.
0,1,male,,0,0,P,27.7208,N,C,Mr.
1,1,male,51.0,0,0,1,26.55,E,S,Mr.
1,1,female,49.0,1,0,P,76.7292,D,C,Mrs.
0,3,male,1.0,5,2,C,46.9,N,S,Master.
0,1,male,54.0,0,1,3,77.2875,D,S,Mr.
0,3,female,,1,0,2,14.4583,N,C,Mrs.
1,2,male,8.0,1,1,C,36.75,N,S,Master.
0,1,male,24.0,0,1,P,247.5208,B,C,Mr.
0,3,male,20.0,0,0,A,8.05,N,S,Mr.
0,3,male,30.0,0,0,S,8.05,N,S,Mr.
1,3,male,24.0,0,0,C,7.1417,N,S,Mr.
1,3,female,,0,0,3,7.8292,N,Q,Miss.
0,3,female,,0,0,W,7.55,N,S,Miss.
0,3,male,25.0,0,0,3,7.25,N,S,Mr.
1,3,female,,1,0,3,15.5,N,Q,Miss.
0,1,male,,0,0,1,35.0,C,S,Mr.
1,1,female,48.0,0,0,1,25.9292,D,S,Mrs.
0,3,male,74.0,0,0,3,7.775,N,S,Mr.
0,3,male,23.0,0,0,3,7.8958,N,S,Mr.
0,3,male,17.0,1,1,2,7.2292,N,C,Mr.
0,3,female,,3,1,4,25.4667,N,S,Miss.
0,2,male,52.0,0,0,2,13.5,N,S,Mr.
0,1,male,,0,0,1,52.0,A,S,Mr.
1,2,male,,0,0,2,13.0,N,S,Mr.
0,2,male,34.0,1,0,3,21.0,N,S,Mr.
1,3,female,,0,2,2,22.3583,N,C,Mrs.
1,2,female,34.0,1,1,2,32.5,N,S,Mrs.
1,2,female,24.0,0,0,2,13.0,F,S,Miss.
0,2,male,29.0,0,0,W,10.5,N,S,Mr.
0,2,male,36.0,0,0,2,13.0,N,S,Mr.
0,1,male,61.0,0,0,1,33.5,B,S,Mr.
1,1,male,45.0,0,0,1,26.55,N,S,Mr.
0,2,male,34.0,0,0,2,13.0,N,S,Mr.
1,1,female,,1,0,1,51.8625,D,S,Mrs.
0,3,male,21.0,0,0,8,8.4333,N,S,Mr.
0,3,male,,1,0,6,19.9667,N,S,Mr.
1,2,male,0.83,0,2,2,29.0,N,S,Master.
1,1,male,26.0,0,0,1,30.0,C,C,Mr.
1,3,female,,0,0,3,7.75,N,Q,Miss.
0,1,male,55.0,0,0,1,30.5,C,S,Mr.
0,3,female,6.0,4,2,3,31.275,N,S,Miss.
1,2,female,50.0,0,0,W,10.5,N,S,Miss.
0,3,male,26.0,0,0,3,7.8958,N,S,Mr.
1,2,male,34.0,0,0,2,13.0,D,S,Mr.
0,3,female,39.0,0,5,3,29.125,N,Q,Mrs.
0,3,female,30.0,1,1,3,24.15,N,S,Mrs.
0,3,male,,0,0,3,7.25,N,S,Mr.
0,3,male,22.0,0,0,S,7.125,N,S,Mr.
1,1,male,35.0,0,0,P,26.2875,E,S,Mr.
0,1,male,42.0,1,0,1,52.0,N,S,Mr.
1,3,male,29.0,0,0,3,9.5,N,S,Mr.
0,3,male,,8,2,C,69.55,N,S,Master.
1,3,male,31.0,0,0,S,7.925,N,S,Mr.
0,3,male,,0,0,2,7.2292,N,C,Mr.
1,3,female,,1,0,3,24.15,N,Q,Miss.
1,1,female,41.0,0,0,1,134.5,E,C,Miss.
1,2,female,28.0,0,0,2,13.0,N,S,Ms.
0,1,male,46.0,1,0,W,61.175,E,S,Mr.
0,3,male,,1,0,3,15.5,N,Q,Mr.
0,1,male,50.0,1,0,1,55.9,E,S,Mr.
0,3,male,38.0,0,0,S,7.05,N,S,Mr.
0,3,male,11.0,0,0,2,18.7875,N,C,Mr.
0,3,male,20.0,0,0,7,9.8458,N,S,Mr.
1,2,female,35.0,0,0,F,21.0,N,S,Miss.
0,3,male,39.0,0,0,A,24.15,N,S,Mr.
1,3,male,9.0,0,2,3,20.525,N,S,Master.
0,2,male,19.0,0,0,2,10.5,N,S,Mr.
0,3,male,40.0,1,1,3,15.5,N,Q,Mr.
0,3,male,38.0,0,0,3,8.6625,N,S,Mr.
1,3,male,22.0,0,0,2,7.225,N,C,Mr.
0,1,male,65.0,0,0,1,26.55,E,S,Mr.
1,1,female,60.0,1,0,1,75.25,D,C,Mrs.
0,3,male,47.0,0,0,A,7.25,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,1,male,51.0,0,1,P,61.3792,N,C,Mr.
1,3,male,21.0,0,0,3,7.7958,N,S,Mr.
0,2,male,27.0,0,0,2,13.0,N,S,Rev.
1,1,male,27.0,1,0,1,53.1,E,S,Mr.
1,1,male,49.0,1,0,1,89.1042,C,C,Mr.
1,2,female,29.0,0,0,C,10.5,F,S,Mrs.
0,2,male,16.0,0,0,S,10.5,N,S,Mr.
0,3,male,21.0,0,0,3,7.775,N,S,Mr.
0,1,male,47.0,0,0,1,38.5,E,S,Mr.
1,1,female,58.0,0,1,P,153.4625,C,S,Mrs.
1,2,female,40.0,0,0,C,15.75,N,S,Mrs.
0,3,male,35.0,0,0,S,7.05,N,S,Mr.
0,3,male,51.0,0,0,3,7.75,N,S,Mr.
1,2,female,27.0,1,0,S,13.8583,N,C,Miss.
0,3,male,33.0,0,0,3,7.8958,N,S,Mr.
1,2,female,4.0,2,1,2,39.0,F,S,Miss.
0,3,female,28.0,0,0,3,7.8958,N,S,Miss.
0,2,male,34.0,0,0,1,13.0,N,S,Mr.
0,3,female,43.0,1,6,C,46.9,N,S,Mrs.
0,3,female,,3,1,4,25.4667,N,S,Miss.
1,1,female,,1,0,P,133.65,N,S,Mrs.
1,1,female,39.0,1,1,1,79.65,E,S,Mrs.
1,1,female,,1,0,1,52.0,C,S,Mrs.
0,3,female,18.0,0,0,3,7.775,N,S,Miss.
1,1,female,30.0,0,0,1,93.5,B,S,Miss.
0,3,female,23.0,0,0,S,7.925,N,S,Miss.
1,3,male,16.0,0,0,S,8.05,N,S,Mr.
0,3,male,26.0,0,0,3,7.8875,N,S,Mr.
1,1,female,30.0,0,0,P,56.9292,E,C,Miss.
0,3,male,18.0,0,0,3,7.7958,N,S,Mr.
0,3,male,8.0,4,1,3,29.125,N,Q,Master.
1,2,female,55.0,0,0,2,16.0,N,S,Mrs.
0,1,male,44.0,2,0,1,90.0,C,Q,Dr.
0,3,female,,3,1,4,25.4667,N,S,Miss.
0,1,male,54.0,0,0,1,51.8625,E,S,Mr.
0,1,male,30.0,0,0,1,27.75,C,C,Mr.
0,3,male,20.0,0,0,3,9.5,N,S,Mr.
1,3,female,2.0,0,1,3,12.2875,N,S,Miss.
0,3,male,37.0,2,0,3,7.925,N,S,Mr.
1,2,female,,0,0,2,12.35,E,Q,Miss.
0,3,male,,0,0,3,7.8958,N,S,Mr.
1,3,female,16.0,0,0,3,7.75,N,Q,Miss.
0,3,male,19.0,0,0,L,0.0,N,S,Mr.
0,3,male,21.0,0,0,A,7.8,N,S,Mr.
0,3,male,29.0,0,0,3,8.05,N,S,Mr.
0,3,male,,0,0,2,7.225,N,C,Mr.
0,3,male,,0,0,S,8.05,N,S,Mr.
1,3,female,15.0,0,0,3,8.0292,N,Q,Miss.
0,3,female,3.0,3,1,3,21.075,N,S,Miss.
0,3,male,,0,0,3,6.95,N,Q,Mr.
1,1,female,32.0,0,0,1,76.2917,D,C,Miss.
0,3,female,32.0,1,1,3,15.5,N,Q,Mrs.
0,3,male,29.0,0,0,3,7.875,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,C,Mr.
1,1,male,48.0,0,0,1,26.55,E,S,Mr.
0,3,female,2.0,0,1,3,10.4625,G,S,Miss.
0,2,male,23.0,2,1,2,11.5,N,S,Mr.
1,2,female,32.0,0,0,2,13.0,N,S,Mrs.
0,2,male,29.0,1,0,S,27.7208,N,C,Mr.
0,3,male,28.5,0,0,5,16.1,N,S,Mr.
1,1,female,,1,0,P,82.1708,N,C,Mrs.
0,1,male,,0,0,1,50.0,A,S,Mr.
1,1,female,44.0,0,0,P,27.7208,B,C,Mrs.
0,3,male,26.0,0,0,3,8.05,N,S,Mr.
0,3,female,21.0,2,2,W,34.375,N,S,Miss.
0,1,male,36.0,0,0,1,40.125,A,C,Mr.
0,3,female,47.0,1,0,A,14.5,N,S,Mrs.
1,3,female,5.0,4,2,3,31.3875,N,S,Miss.
0,3,male,21.0,0,0,S,7.925,N,S,Mr.
0,2,male,30.0,0,0,2,13.0,N,S,Mr.
0,3,male,28.0,0,0,3,7.8958,N,S,Mr.
1,3,female,26.0,0,0,3,7.8542,N,S,Miss.
0,3,male,29.0,0,0,7,9.4833,N,S,Mr.
0,3,male,,0,0,2,7.2292,N,C,Mr.
0,2,male,24.0,0,0,2,13.0,N,S,Mr.
0,3,male,32.0,1,0,3,15.85,N,S,Mr.
0,1,male,,0,0,P,227.525,N,C,Mr.
0,1,male,71.0,0,0,P,49.5042,N,C,Mr.
0,1,male,71.0,0,0,P,34.6542,A,C,Mr.
0,1,male,,0,0,P,221.7792,C,S,Mr.
0,3,male,41.0,0,0,S,7.125,N,S,Mr.
1,1,male,36.0,0,0,P,26.3875,E,S,Mr.
1,3,male,32.0,0,0,1,56.4958,N,S,Mr.
0,3,male,24.0,0,0,3,8.05,N,S,Mr.
0,3,female,18.0,2,0,3,18.0,N,S,Miss.
0,3,male,36.0,0,0,L,0.0,N,S,Mr.
1,2,female,33.0,0,2,2,26.0,N,S,Mrs.
0,3,male,22.0,1,0,A,7.25,N,S,Mr.
0,3,male,,1,0,3,15.5,N,Q,Mr.
0,3,male,4.0,4,1,3,29.125,N,Q,Master.
0,3,male,28.0,2,0,3,7.925,N,S,Mr.
1,1,female,24.0,0,0,P,49.5042,C,C,Mlle.
1,2,female,36.0,1,0,2,26.0,N,S,Mrs.
0,1,male,29.0,0,0,1,30.0,D,S,Mr.
1,3,male,,0,0,3,7.775,N,S,Mr.
0,2,male,57.0,0,0,2,12.35,N,Q,Rev.
1,2,female,29.0,1,0,2,26.0,N,S,Mrs.
0,1,male,39.0,0,0,1,0.0,A,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,male,44.0,0,0,3,8.05,N,S,Mr.
1,2,female,36.0,0,0,2,13.0,D,S,Mrs.
1,2,male,1.0,0,2,S,37.0042,N,C,Master.
0,1,male,21.0,0,1,3,77.2875,D,S,Mr.
0,1,male,61.0,0,0,3,32.3208,D,S,Mr.
0,3,male,38.0,0,0,3,7.8958,N,S,Mr.
0,2,male,30.0,0,0,2,13.0,N,S,Mr.
0,2,male,47.0,0,0,2,15.0,N,S,Mr.
0,3,male,24.0,0,0,3,7.7958,N,S,Mr.
1,3,male,27.0,0,0,3,8.6625,N,S,Mr.
0,3,female,25.0,0,0,3,7.775,N,S,Miss.
0,2,male,21.0,1,0,2,11.5,N,S,Mr.
1,2,female,19.0,1,0,2,26.0,N,S,Mrs.
1,3,male,12.0,1,0,2,11.2417,N,C,Master.
0,2,male,23.0,0,0,S,15.0458,N,C,Mr.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,3,male,20.0,0,0,3,7.8542,N,S,Mr.
1,3,female,4.0,0,1,3,13.4167,N,C,Miss.
0,3,male,40.0,0,0,2,7.225,N,C,Mr.
1,1,female,14.0,1,2,1,120.0,B,S,Miss.
0,3,male,30.0,0,0,C,7.25,N,S,Mr.
0,3,male,17.0,1,0,3,7.0542,N,S,Mr.
1,1,male,38.0,1,0,1,90.0,C,S,Mr.
0,3,male,,0,0,2,7.225,N,C,Mr.
0,2,female,57.0,0,0,S,10.5,E,S,Mrs.
1,1,female,53.0,2,0,1,51.4792,C,S,Mrs.
1,2,female,18.0,0,2,2,13.0,N,S,Miss.
0,3,male,,0,0,C,15.1,N,S,Mr.
0,3,male,26.0,0,0,3,7.8958,N,S,Mr.
1,1,female,51.0,1,0,1,77.9583,D,S,Mrs.
1,2,female,40.0,1,1,2,39.0,N,S,Mrs.
1,1,female,35.0,1,0,1,53.1,C,S,Mrs.
0,2,male,25.0,0,0,C,13.0,N,S,Mr.
1,1,female,36.0,0,0,P,135.6333,C,C,Miss.
0,3,male,28.0,0,0,3,9.5,N,S,Mr.
0,2,male,35.0,0,0,2,10.5,N,S,Mr.
1,3,female,,1,0,3,15.5,N,Q,Mrs.
0,3,male,20.0,0,0,6,9.225,N,S,Mr.
0,1,male,,0,0,P,27.7208,N,C,Mr.
0,3,male,24.0,1,0,3,16.1,N,S,Mr.
